name, price, image
Pakiza, 480 per Kg, pakiza.jpeg
Cham Cham, 500 per Kg, chamcham.jpeg
Rasgulla, 20 per piece, rasgulla.jpeg
Kheer Mohan, 540 per Kg, kheermohan.jpeg
Chena Goli, 540 per Kg, chenagoli.jpeg
Gopal Bhog, 540 per Kg, gopalbhog.jpeg
Chena Toast, 540 per Kg, chennatoast.jpeg

